Model,Company,AveragePrice_inINRLakhs,Nov-21-Sales,Dec-21-Sales,Jan-22-Sales,Feb-22-Sales,Mar-22-Sales,Total Sales,Horsepower(PS),Torque(Nm),Mileage (kmpl)
Ciaz,NEXA,10.495,1204,1666,1912,1834,579,7195,103,137,20.65
Ignis,NEXA,6.535,3209,1993,4020,4472,3815,17509,90,113,20.89
S Cross,NEXA,10.935,1521,2116,1151,2674,2922,10384,105,138,18.55
Baleno,NEXA,8.1,0,0,12570,14520,10938,38028,105,138,22.35
XL6,NEXA,12.92,0,0,0,0,4366,4366,105,113,20.97
Urban cruiser,TOYOTA,10.38,2359,2590,2387,3079,3524,13939,105,138,17.03
Camry,TOYOTA,43.45,1,141,161,120,129,552,218,221,22.8
Fortuner,TOYOTA,40.11,1827,811,1848,2984,2022,9492,166,245,10
Innova Crysta,TOYOTA,21.565,3989,2433,4318,7917,6351,25008,166,245,10.6
Vellfire,TOYOTA,90.8,23,6,31,0,105,165,117,198,16.4
Glanza,TOYOTA,8.22,0,0,0,2987,2646,5633,90,113,22.35
Duster,RENAULT,11.925,56,0,0,0,0,56,106,142,13.9
Triber,RENAULT,6.97,2901,2722,2397,3561,2910,14491,72,96,18.4
Kiger,RENAULT,8.01,2117,3053,2247,2496,2618,12531,100,160,20
Kwid,RENAULT,5.17,0,0,0,2461,2066,4527,54,72,22.25
Polo,VOLKSWAGEN,7.885,762,891,1233,1086,728,4700,110,175,18.24
Polo GT,VOLKSWAGEN,10,0,0,0,0,0,0,110,175,16.47
Vento,VOLKSWAGEN,11.915,70,139,277,175,57,718,110,175,17.69
Taigun,VOLKSWAGEN,15,2828,2432,2388,2380,2631,12659,115,178,18.1
Tiguan,VOLKSWAGEN,32.79,40,61,130,31,131,393,190,320,12.65
Rapid,SKODA,10.64,158,0,0,0,0,158,110,175,18.97
Octavia,SKODA,28.35,164,166,168,180,147,825,110,175,18.97
Superb,SKODA,35.04,16,122,99,180,74,491,190,320,15.1
Kodiaq,SKODA,36.24,55,113,67,125,87,447,190,320,12.78
Kushaq,SKODA,15.39,2840,2608,2307,2499,2413,12667,115,178,17.88
Slavia,SKODA,14.24,0,0,1862,2665,2431,6958,115,178,19.47
Hector,MG,17.555,1215,2039,2102,2019,1448,8823,143,250,13.3
Hector Plus,MG,16.36,1215,2039,2102,2019,1448,8823,143,250,14.03
Seltos,KIA,14.32,4012,11483,6575,8415,7506,37991,115,144,16.5
Carnival,KIA,29.45,207,357,283,328,355,1530,200,440,13.9
Sonet,KIA,10.47,3578,6904,6154,6871,5404,28911,83,115,18.4
Carens,KIA,13.65,0,0,5109,7008,5754,17871,115,144,15.7
Compass,JEEP,23.815,916,861,1020,1273,886,4956,160,250,15
Meridian,JEEP,33.425,0,0,0,0,0,0,172,350,14.6
Creta,HYUNDAI,14.15,10300,7609,9869,9606,10532,47916,115,144,16.76
Elantra,HYUNDAI,19.485,0,0,0,0,0,0,152,192,14.6
i20,HYUNDAI,9.235,4391,3150,6509,5830,4693,24573,83,115,20.35
Grand i10 Nios,HYUNDAI,6.905,5466,6151,6841,8552,9687,36697,83,114,20.7
Santro,HYUNDAI,5.66,2141,1298,1252,2393,2494,9578,69,99,20
Tucson,HYUNDAI,25.08,108,35,48,172,109,472,152,192,13.08
Venue,HYUNDAI,9.495,7932,10360,11377,10212,9220,49101,83,114,17.27
Verna,HYUNDAI,12.35,1648,982,1622,1058,1286,6596,115,144,17.4
Aura,HYUNDAI,7.68,2562,1715,3333,3668,3775,15053,83,114,20.5
Alcazar,HYUNDAI,18.295,2453,1002,3168,2516,2502,11641,151,191,14.5
i20 N Line,HYUNDAI,10.94,0,0,0,0,0,0,120,172,20
Harrier,TATA,18.3,2607,2234,2702,2619,2491,12653,170,350,16.35
Nexon,TATA,10.725,9831,12899,13816,12259,14315,63120,120,170,17.57
